2018-11-25 18:38:06.312066
time[sec],mass[kg],len_CG[m],Iyz[kg*m^2],Ix[kg*m^2],pos_x[m],pos_y[m],pos_z[m],vel_x[m/s],vel_y[m/s],vel_z[m/s],roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
5.148,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.919062709668836,-34.757999055635054,135.30113982916606,-5.662396893263145,-9.113475409345687,16.28461817241623,0.0,0.13132565793542073,0.0850155351099259,-0.5173085143150042,-0.18400040317947422,-0.7318697054685276,0.40361274854046564
5.149,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.924725081861112,-34.76711243327725,135.31741949939624,-5.662345995637659,-9.113320094807628,16.27470635787941,0.0,0.1314312202059027,0.08505813091697653,-0.5172682547022064,-0.18395188595430306,-0.7318865255714846,0.40365596034871054
5.15,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.930387403169846,-34.77622565574372,135.3336892578411,-5.6622950809858015,-9.11316481762,16.26479471005835,0.0,0.1315368147150309,0.08510069957385387,-0.5172279572447116,-0.18390333532536374,-0.7319033598792432,0.4036991949324603
5.151,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.93604967357887,-34.78533872307595,135.34994910466537,-5.662244149366857,-9.113009577771493,16.254883228866568,0.0,0.13164244142109666,0.08514324114806536,-0.5171876219236254,-0.18385475129196388,-0.7319202083953297,0.40374245227725813
5.152,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.941711893072103,-34.79445163531547,135.36619904003385,-5.662193200840128,-9.112854375250661,16.24497191421761,0.0,0.13174810028253073,0.08518575570726065,-0.5171472487200837,-0.1838061338534145,-0.7319370711232343,0.40378573236864423
5.1530000000000005,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.94737406163349,-34.803564392503795,135.38243906411114,-5.662142235464932,-9.112699210045903,16.235060766025107,0.0,0.13185379125790295,0.08522824331923133,-0.5171068376152526,-0.18375748300903014,-0.7319539480664109,0.40382903519215546
5.154,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.953036179247047,-34.81267699468249,135.3986691770617,-5.662091253300609,-9.112544082145472,16.225149784202735,0.0,0.13195951430592232,0.08527070405191105,-0.5170663885903289,-0.18370879875812893,-0.7319708392282771,0.40387236073332555
5.155,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.958698245896862,-34.82178944189317,135.41488937905,-5.662040254406512,-9.112388991537475,16.215238968664202,0.0,0.13206526938543742,0.0853131379733756,-0.5170259016265397,-0.1836600811000322,-0.7319877446122139,0.40391570897768514
5.156,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.964360261567062,-34.83090173417745,135.4310996702403,-5.661989238842015,-9.112233938209867,16.205328319323314,0.0,0.13217105645543573,0.08535554515184271,-0.5169853767051426,-0.18361133003406505,-0.7320046642215665,0.40395907991076163
5.157,7.488095374904442,0.9640037133450958,1.3877099621844105,0.010002628544699712,-22.970022226241856,-34.840013871577,135.44730005079683,-5.661938206666507,-9.11207892215046,16.195417836093892,0.0,0.13227687547504435,0.08539792565567234,-0.5169448138074252,-0.1835625455595558,-0.7320215980596432,0.40400247351807933
